rainfall_mm,slope_deg,susceptibility,soil_saturation,past_incidents,risk_probability,slide_occurred
21.1,45.6,0.438,0.145,5,0.463,0
135.5,41.2,0.273,0.425,2,0.814,1
59.3,41.8,0.183,0.31,3,0.346,0
41.1,21.3,0.36,0.382,4,0.25,0
7.6,47.1,0.616,0.113,0,0.382,0
7.6,37.6,0.152,0.086,1,0.193,0
2.7,31.3,0.194,0.148,3,0.185,0
90.5,36.4,0.36,0.444,5,0.568,1
41.4,17.2,0.582,0.131,1,0.076,0
55.4,39.1,0.104,0.396,3,0.336,0
0.9,24.7,0.527,0.138,3,0.151,0
157.7,21.5,0.823,0.459,7,0.809,1
80.4,19.8,0.508,0.21,4,0.308,0
10.7,46.1,0.382,0.232,2,0.417,0
9.0,28.7,0.092,0.157,3,0.178,0
9.1,50.3,0.065,0.185,1,0.292,0
16.3,29.6,0.466,0.116,3,0.191,0
33.5,17.9,0.068,0.203,1,0.078,0
25.4,23.8,0.361,0.17,3,0.168,0
15.5,47.4,0.19,0.178,2,0.353,0
42.6,33.4,0.47,0.196,0,0.191,0
6.8,29.5,0.557,0.05,4,0.192,0
15.5,36.6,0.552,0.405,3,0.419,0
20.5,40.0,0.553,0.089,5,0.409,0
27.4,46.2,0.458,0.228,4,0.457,0
69.2,49.5,0.604,0.17,3,0.601,1
10.0,31.4,0.455,0.05,3,0.209,0
32.5,21.7,0.297,0.234,0,0.065,0
40.4,30.9,0.064,0.258,1,0.164,0
2.1,37.6,0.686,0.256,4,0.42,0
42.1,25.4,0.801,0.28,3,0.29,0
8.4,25.4,0.304,0.158,3,0.137,0
3.0,38.4,0.294,0.081,4,0.334,0
133.8,34.5,0.07,0.582,2,0.671,1
151.7,35.3,0.308,0.578,4,0.867,1
74.4,27.4,0.389,0.224,4,0.289,0
16.3,32.7,0.187,0.191,3,0.227,0
4.6,25.8,0.186,0.172,0,0.101,0
51.9,43.9,0.394,0.243,2,0.462,0
26.1,45.4,0.35,0.273,3,0.425,0
5.9,16.5,0.202,0.23,0,0.016,0
30.8,25.7,0.679,0.207,3,0.146,0
1.6,20.0,0.021,0.131,2,0.162,0
108.0,28.5,0.657,0.522,1,0.542,1
13.5,34.2,0.207,0.256,1,0.193,0
48.9,20.5,0.363,0.27,3,0.219,0
16.8,25.8,0.458,0.059,1,0.058,0
33.0,25.0,0.386,0.255,4,0.186,0
35.6,37.1,0.337,0.289,1,0.231,0
9.2,35.7,0.306,0.05,1,0.193,0
157.2,27.8,0.367,0.537,2,0.654,1
67.2,36.8,0.57,0.273,3,0.383,0
126.2,29.5,0.533,0.427,3,0.597,1
101.3,32.3,0.162,0.314,3,0.454,0
41.0,51.7,0.698,0.234,3,0.753,1
114.7,48.4,0.136,0.529,2,0.742,1
4.2,22.0,0.628,0.124,4,0.208,0
9.8,43.3,0.507,0.25,5,0.485,0
2.1,43.1,0.135,0.09,1,0.135,0
17.7,23.5,0.619,0.252,5,0.18,0
22.1,43.2,0.51,0.202,2,0.385,0
14.2,50.4,0.465,0.211,3,0.585,1
79.4,23.8,0.241,0.336,6,0.317,0
19.9,25.8,0.417,0.248,4,0.221,0
14.8,45.2,0.213,0.05,2,0.196,0
35.2,37.7,0.399,0.119,0,0.135,0
6.8,40.5,0.149,0.199,3,0.349,0
72.9,38.4,0.738,0.157,5,0.647,1
3.5,38.9,0.395,0.116,4,0.335,0
195.0,21.7,0.318,0.601,0,0.56,1
66.6,45.5,0.5,0.239,3,0.55,1
10.0,46.7,0.751,0.118,5,0.674,1
0.2,32.7,0.239,0.172,1,0.204,0
76.0,34.6,0.52,0.408,2,0.427,0
55.2,19.7,0.427,0.202,5,0.226,0
58.8,40.1,0.37,0.241,3,0.371,0
66.4,40.7,0.039,0.246,0,0.261,0
3.5,34.4,0.499,0.05,2,0.218,0
20.0,46.2,0.573,0.208,2,0.492,0
5.5,31.7,0.659,0.238,4,0.293,0
89.5,40.6,0.562,0.44,2,0.627,1
43.9,24.8,0.322,0.183,1,0.088,0
18.1,34.8,0.202,0.092,0,0.133,0
3.0,33.3,0.046,0.159,3,0.177,0
16.8,37.3,0.565,0.255,4,0.294,0
17.7,31.3,0.434,0.204,2,0.19,0
58.9,33.7,0.384,0.31,2,0.229,0
45.7,43.3,0.216,0.348,1,0.34,0
98.2,30.6,0.09,0.32,3,0.384,0
28.8,18.9,0.794,0.2,11,0.402,0
5.7,52.5,0.698,0.294,2,0.809,1
56.2,48.8,0.744,0.265,6,0.871,1
64.4,22.1,0.745,0.199,3,0.234,0
37.1,41.9,0.406,0.183,3,0.423,0
66.3,30.0,0.262,0.23,1,0.162,0
30.6,37.6,0.31,0.25,2,0.314,0
33.3,37.9,0.239,0.156,4,0.272,0
25.1,32.7,0.26,0.23,4,0.207,0
1.2,27.2,0.484,0.094,3,0.16,0
5.1,28.1,0.179,0.05,2,0.083,0
1.4,25.8,0.426,0.178,0,0.146,0
45.5,26.7,0.132,0.268,3,0.11,0
17.0,34.3,0.392,0.231,2,0.281,0
32.0,27.8,0.401,0.171,2,0.13,0
107.2,41.8,0.715,0.338,3,0.841,1
12.9,49.9,0.157,0.212,2,0.375,0
23.8,29.2,0.254,0.327,4,0.234,0
63.4,37.4,0.278,0.299,1,0.25,0
11.7,40.0,0.565,0.211,1,0.331,0
3.6,39.7,0.496,0.133,2,0.294,0
15.4,35.8,0.512,0.062,1,0.145,0
7.9,42.4,0.428,0.246,2,0.31,0
119.5,39.8,0.183,0.501,2,0.628,1
74.3,22.6,0.254,0.38,1,0.14,0
45.2,43.7,0.527,0.241,4,0.573,1
92.3,43.9,0.46,0.413,2,0.653,1
73.3,27.4,0.299,0.392,2,0.208,0
9.3,35.4,0.076,0.301,0,0.13,0
100.4,41.8,0.188,0.463,2,0.542,1
34.9,32.9,0.528,0.236,4,0.302,0
74.1,45.7,0.211,0.218,1,0.342,0
101.9,58.6,0.71,0.4,2,0.947,1
17.2,27.1,0.876,0.211,3,0.337,0
5.2,21.2,0.347,0.219,5,0.184,0
11.6,38.0,0.581,0.285,1,0.31,0
25.1,42.2,0.475,0.201,3,0.39,0
76.7,32.7,0.561,0.497,3,0.459,0
88.7,49.5,0.78,0.216,5,0.887,1
0.3,21.6,0.379,0.184,1,0.127,0
32.2,41.9,0.021,0.161,0,0.195,0
24.3,28.9,0.523,0.054,4,0.156,0
11.3,52.2,0.674,0.16,3,0.715,1
5.7,54.9,0.094,0.05,2,0.317,0
18.5,27.3,0.768,0.18,6,0.379,0
128.8,29.5,0.83,0.453,5,0.858,1
17.6,43.6,0.567,0.28,2,0.434,0
32.9,31.1,0.12,0.106,1,0.129,0
54.6,34.5,0.426,0.35,1,0.185,0
20.3,35.3,0.215,0.205,1,0.214,0
160.6,15.8,0.616,0.607,2,0.611,1
147.7,34.9,0.171,0.46,2,0.733,1
13.1,28.1,0.674,0.074,5,0.33,0
30.9,30.1,0.368,0.125,5,0.197,0
16.1,49.4,0.343,0.084,0,0.349,0
15.1,22.4,0.268,0.223,5,0.24,0
1.7,43.1,0.311,0.272,0,0.203,0
42.3,32.2,0.351,0.204,3,0.227,0
31.4,32.2,0.058,0.274,1,0.136,0
2.4,42.9,0.563,0.05,1,0.334,0
14.7,38.4,0.309,0.199,3,0.176,0
107.5,40.7,0.561,0.454,1,0.771,1
12.3,44.7,0.591,0.063,4,0.456,0
7.0,31.7,0.59,0.15,3,0.285,0
30.3,28.9,0.488,0.278,3,0.228,0
